id,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude_station,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,clay,sand,mineral_bulk_density,altitude_basin,forest,impervious,pervious,slope
6233250,6,6330,HELGE A,TORSEBRO KRV (POWERSTATION),SE,56.103036,14.129361,3664.5,11.0,1908.0,2021.0,114.0,0.0,1908.0,2018.0,111.0,0.0,1908,2021,114,"36,034",1.136368224,310.1018485,0.11332071931326392,0.6459535083613465,0.013333356526179957,123.8586294372902,0.8346389235003623,0.0027665095272021,0.1625945669724355,1.6242033063547467
6233300,6,6334,MOSSAN,VELEN 2,SE,58.713,14.3149,45.0,120.0,1937.0,2021.0,85.0,0.003286123,1956.0,2017.0,62.0,0.0,1937,2021,85,"0,384",0.012109824,269.1072,0.10312309745501336,0.5850526294521813,0.011964260189887782,143.71013718321868,0.902838804319441,0.0,0.097161195680559,1.5868487834006837
6233350,6,6330,ALSTERAN,GETEBRO,SE,56.9996,16.1639,1332.7,60.0,1920.0,2021.0,102.0,7.895164788,1920.0,2018.0,99.0,11.36363636,1920,2021,102,"9,933",0.313247088,235.0469633,0.10248791884823528,0.5951936413474287,0.012124948716542483,184.63732171038143,0.934038258291302,0.0,0.0659617417086979,1.5505083503495332
6233360,6,6330,EMAN,EMSFORS BRUK,SE,57.1431,16.4513,4440.9,-999.0,1954.0,2021.0,68.0,0.0,,,,,1954,2021,68,"29,17",0.91990512,207.1438492,0.11208648235204033,0.5793410975802809,0.012132762482269547,195.2841951332384,0.9180409100487849,0.0016267872032767,0.0803323027479385,2.456552180440412
6233400,6,6330,FYRAN,FYRAS,SE,63.4719,15.4369,2428.4,299.0,1923.0,2021.0,99.0,0.002803712,1972.0,2019.0,48.0,0.0,1923,2021,99,"32,678",1.030533408,424.367241,0.10277896221187952,0.5274456836744256,0.010775928664239756,429.1946828582514,0.8397610137210232,0.0,0.1602389862789767,2.4297322941289305
6233450,6,6331,ANKARVATTNET,ANKARVATTNET,SE,64.8361,14.2388,427.8,448.0,1944.0,2021.0,78.0,0.0,1944.0,2019.0,76.0,0.0,1944,2021,78,"17,502",0.551943072,1290.189509,0.08523194925048751,0.564789277215098,0.01108103837441096,791.8629693845311,0.145340040969061,0.0,0.8546599590309392,10.429486398750017
6233500,6,6330,JOVATTSAN,NEDRE JOVATTNET,SE,65.7413,15.0544,356.1,460.0,1956.0,2000.0,45.0,2.220599866,1956.0,2000.0,45.0,2.222222222,1956,2000,45,"10,682",0.336867552,945.9914406,0.08594782133437436,0.5556728339887633,0.010855414104641853,679.2498027557293,0.1849018964654498,0.0,0.8150981035345501,9.14610280286359
6233550,6,6330,KASSJOAN,STORSILLRET,SE,62.6617,16.2902,164.0,224.0,1966.0,2018.0,53.0,0.474108413,1981.0,1997.0,17.0,0.0,1966,2018,53,"1,803",0.056859408,346.7037073,0.09856953818904575,0.5482015136734233,0.011159143417128153,346.33887584411616,0.9639327201918182,0.0,0.0360672798081818,3.979392515635112
6233600,6,6330,VATTHOLMAAN,VATTHOLMA 2,SE,60.0194,17.7307,293.8,21.0,1916.0,2021.0,106.0,0.096684,1979.0,2019.0,41.0,0.0,1916,2021,106,"2,085",0.06575256,223.8004084,0.15842835977418676,0.573327195744518,0.0132835125188825,33.038739500818245,0.9123705082213384,0.0012080512844348,0.0864214404942268,1.220916074876262
6233680,6,6330,VINDELALVEN,SORSELE 2,SE,65.5317,17.4761,6054.3,340.0,1909.0,2021.0,113.0,0.758151974,1920.0,2018.0,99.0,0.925925926,1909,2021,113,"124,011",3.910810896,645.955915,0.09134980072147585,0.5616036232337265,0.011218216157307509,711.0750291875103,0.467885247221652,0.0001056423275367,0.5320091104508113,6.680766931437038
6233700,6,6330,MOALVEN,VAESTERSEL,SE,63.4332,18.3034,1465.2,-999.0,1922.0,2021.0,100.0,0.002777006,1952.0,2018.0,67.0,0.0,1922,2021,100,"15,975",0.5037876,343.8353808,0.07639508843674517,0.5726118441425974,0.010905169892798848,279.3806052506436,0.8850340959569659,0.0007087528891977,0.1142571511538364,4.317887757074853
6233720,6,6330,OREALVEN,TORRBOELE,SE,63.701,19.6072,2859.7,-999.0,1949.0,2004.0,56.0,0.0,1949.0,2004.0,56.0,0.0,1949,2004,56,"32,89",1.03721904,362.7020457,0.07614020314649635,0.5807530633996872,0.011159172152343234,333.4973557909037,0.9060463914241328,0.0,0.0939536085758672,3.260286565297541
6233800,6,6330,RORAN,YTTERHOLMEN,SE,66.1675,21.8128,1012.0,51.0,1924.0,2021.0,98.0,0.0,1924.0,2018.0,95.0,0.087719298,1924,2021,98,"12,009",0.378715824,374.2251225,0.06438330145809662,0.607355890037626,0.011212489079481788,242.25103048933065,0.8682306049216851,0.0,0.1317693950783148,2.5893955785242158
6235100,6,6351,BREGENZER ACH,MELLAU,AT,47.3553,9.8814,228.6,673.46,1951.0,2017.0,67.0,0.0,1978.0,1989.0,12.0,58.33333333,1951,2017,67,"13,449",0.424127664,1855.326614,0.18822623154793347,0.4495204558535373,0.012416622720719774,1457.8531954314851,0.6434540424040903,0.0016386490710194,0.3549073085248903,35.35782408976036
6242200,6,6421,ILZ BACH,NEUDORF BEI ILZ,AT,47.0828,15.9436,190.1,277.85,1961.0,2017.0,57.0,0.0,,,,,1961,2017,57,"1,119",0.035288784,185.6327407,0.2377770874927507,0.36167326135193023,0.012800757768302796,396.34970804533793,0.6518367177699318,0.0,0.3481632822300682,7.379463019202333
6242250,6,6421,ENNS,STEYR,AT,48.0394,14.4267,5915.4,283.97,1965.0,2017.0,53.0,0.0,1951.0,1970.0,20.0,0.0,1951,2017,67,"204,902",6.461789472,1092.367291,0.2042245963092322,0.41456227608380497,0.012521150653228296,1140.6578229133827,0.7815480795639677,0.0073580743897506,0.2110938460462812,29.9592401381718
6242420,6,6421,KREMS,IMBACH,AT,48.4458,15.5681,305.9,230.4,1951.0,2017.0,67.0,0.0,,,,,1951,2017,67,"1,893",0.059697648,195.1541288,0.1908497813049832,0.423389073439508,0.012110707249221168,678.8190466210743,0.5725749360702053,0.0003099330888664,0.4271151308409283,6.889762842050326
