x1	y1	assignments1_expression	assignments1_methylation
0.7016	0.4979	0.0	0.0
0.3529	8.1273	0.0	0.0
0.4879	6.3894	0.0	0.0
0.5119	6.6552	0.0	0.0
0.6399	4.3797	0.0	0.0
0.614	5.0123	0.0	0.0
0.6643	4.8211	0.0	0.0
0.6841	2.0936	0.0	0.0
0.578	3.311	0.0	0.0
0.4648	7.4719	0.0	0.0
0.6383	3.1259	0.0	0.0
0.4496	7.9802	0.0	0.0
0.6716	5.9836	0.0	0.0
0.4685	5.2857	0.0	0.0
0.5444	7.2112	0.0	0.0
0.7742	7.3782	0.0	0.0
0.6887	3.1477	0.0	0.0
0.6401	4.9684	0.0	0.0
0.6973	3.7702	0.0	0.0
0.7734	3.38	0.0	0.0
0.4825	7.8147	0.0	0.0
0.5716	4.3573	0.0	0.0
0.672	3.9941	0.0	0.0
0.5588	6.0974	0.0	0.0
0.618	2.3237	0.0	0.0
0.6633	2.3898	0.0	0.0
0.8003	1.902	0.0	0.0
0.5485	3.3087	0.0	0.0
0.8055	3.0188	0.0	0.0
0.5788	3.9171	0.0	0.0
0.5348	8.2512	0.0	0.0
0.5957	5.3384	0.0	0.0
0.7625	2.7874	0.0	0.0
0.5228	6.1521	0.0	0.0
0.4928	1.5317	0.0	0.0
0.5085	4.8528	0.0	0.0
0.6611	3.2682	0.0	0.0
0.4882	6.3204	0.0	0.0
0.504	6.809	0.0	0.0
0.6802	6.8214	0.0	0.0
0.7463	4.3375	0.0	0.0
0.4266	8.4832	0.0	0.0
0.3353	8.0116	0.0	0.0
0.5867	5.5979	0.0	0.0
0.8131	2.5602	0.0	0.0
0.5859	5.3217	0.0	0.0
0.7462	4.5109	0.0	0.0
0.6341	4.5679	0.0	0.0
0.5056	6.7581	0.0	0.0
0.5629	4.3724	0.0	0.0
0.5434	6.9605	0.0	0.0
0.6604	3.168	0.0	0.0
0.66485	1.2674	0.0	0.0
0.4699	4.0477	0.0	0.0
0.5741	4.4906	0.0	0.0
0.6125	5.4351	0.0	0.0
0.5361	5.3836	0.0	0.0
0.7177	1.6226	0.0	0.0
0.7633	1.385	0.0	0.0
0.6923	3.1242	0.0	0.0
0.6089	5.5944	0.0	0.0
0.3951	7.7268	0.0	0.0
0.5316	3.923	0.0	0.0
0.5378	6.4965	0.0	0.0
0.6856	2.615	0.0	0.0
0.5618	4.4	0.0	0.0
0.5283	6.9508	0.0	0.0
0.4973	6.426	0.0	0.0
0.6689	6.0656	0.0	0.0
0.5709	2.8798	0.0	0.0
0.6691	6.3062	0.0	0.0
0.7281	6.4975	0.0	0.0
0.5424	7.6915	0.0	0.0
0.6801	2.6616	0.0	0.0
0.6871	4.3864	0.0	0.0
0.648	4.0535	0.0	0.0
0.6289	6.9972	0.0	0.0
0.6869	2.0896	0.0	0.0
0.5482	5.3849	0.0	0.0
0.5679	7.0272	0.0	0.0
0.6589	2.8305	0.0	0.0
0.7431	5.2147	0.0	0.0
0.7354	2.2732	0.0	0.0
0.5401	5.9069	0.0	0.0
0.5375	6.3435	0.0	0.0
0.5305	8.1766	0.0	0.0
0.789	7.0319	0.0	0.0
0.5829	4.8254	0.0	0.0
0.5289	6.9181	0.0	0.0
0.6528	5.4954	0.0	0.0
